game_id,voice_id,text,vocoder,out_path,pacing
skyrim,sk_malenord,"As usual... Well, good. Would you be willing to help me once more?",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_000082F4_1.wav,
skyrim,sk_malenord,"So, how's the brat doing?",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Hello_000082F3_1.wav,
skyrim,sk_malenord,"Right, we're here. The two of us will rush in.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Hello_00008310_1.wav,
skyrim,sk_malenord,"We escaped... It can't chase us due to that death stench masking our scent but if we came across it in the forest, it would be far more dangerous.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Hello_0000833E_1.wav,
skyrim,sk_malenord,We're busy preparing. Make yourself useful and go babysit that brat for a while.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Hello_0000833F_1.wav,
skyrim,sk_femalechild,Give the apple pie to uncle Brandt. Promise?,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/FemaleChild/zzzLrhMq06_zzzLrhMq06Hello_00008346_1.wav,
skyrim,sk_malenord,"So, are you ready? It's time to hunt the beast.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Hello_0000835D_1.wav,
skyrim,sk_malenord,"Well, that was some hard work. But we still have a lot to do. You, however, can leave now.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Hello_00008381_1.wav,
skyrim,sk_malenord,You can leave now. We have to clean up here.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Hello_00008382_1.wav,
skyrim,sk_malenord,"We found another ghoul nest, but we don't have enough manpower to clear it out.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_000082F6_1.wav,
skyrim,sk_malenord,Will you help us? I'll reward you.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_000082F6_2.wav,
skyrim,sk_malenord,"Don't be surprised, but all I can give you is a whole year's worth of daggers. But they are pretty bad quality. Ah, at least you can break them down for materials.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_000082F8_1.wav,
skyrim,sk_malenord,"Even if I do say so myself, I am very short-tempered. Don't keep me waiting for too long.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_000082FA_1.wav,
skyrim,sk_malenord,A good answer. We can start as soon as you're ready. Come with me.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_000082FC_1.wav,
skyrim,sk_malenord,Are you ready? We can do this anytime.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_000082FF_1.wav,
skyrim,sk_malenord,"Well, let's go, then. Follow me.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_00008301_1.wav,
skyrim,sk_malenord,"Oh, come on, you don't have to pimp yourself up like a noble lady. We'll finish this with no trouble.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_00008303_1.wav,
skyrim,sk_malenord,My men will handle the ghouls that escape from the nest. Too many men in the cave would just create obstacles.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_00008313_1.wav,
skyrim,sk_malenord,Leave it to me. I'll show you how a true Nord fights!,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_00008316_1.wav,
skyrim,sk_malenord,So be it. We can change the lead whenever you get scared. Don't hold back.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_00008319_1.wav,
skyrim,sk_malenord,"What in... This isn't normal, where did they find so many corpses?",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06__00008322_1.wav,
skyrim,sk_malenord,We finally cleaned up here. It will be fine for now. Let's leave now...,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06__00008328_1.wav,
skyrim,sk_malenord,"This is bad, it's a beast-possessed soul! This is really bad, retreat!",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06__0000833B_1.wav,
skyrim,sk_malenord,"It's a beast of Hircine. At this point, it'll never become human again. These things are even worse than werewolves.",hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_00008342_1.wav,
skyrim,sk_malenord,I won't have another incident like that werewolf panic. This has to end.,hifi,D:/Utility Tools/xVASynth_2.1/resources/app/batch/MaleNord/zzzLrhMq06_zzzLrhMq06Brand_00008345_1.wav,
